,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
3002,CHHATTISGARH,1936,31.9,44.7,14.6,4.3,46.6,413.1,463.8,434.5,258.0,90.4,18.2,6.1,1826.2
3003,CHHATTISGARH,1937,0.0,66.2,21.5,76.3,19.2,222.6,501.0,391.9,237.0,79.8,1.0,0.2,1616.8
3004,CHHATTISGARH,1938,18.4,25.1,5.4,8.2,48.8,269.2,386.8,343.5,266.7,126.6,7.0,0.1,1505.8
3005,CHHATTISGARH,1939,6.5,22.8,53.2,19.9,1.1,188.6,427.5,478.6,198.3,79.3,4.6,0.0,1480.3
3006,CHHATTISGARH,1940,0.2,23.0,31.1,26.4,41.5,218.6,542.9,395.6,72.8,67.2,4.9,24.3,1448.4
3007,CHHATTISGARH,1941,20.8,13.8,18.4,3.3,27.1,240.8,218.6,238.7,146.0,70.9,6.5,0.2,1005.1
3008,CHHATTISGARH,1942,13.1,48.2,7.5,18.7,17.7,164.1,540.7,470.7,289.6,23.9,1.6,2.3,1598.3
3009,CHHATTISGARH,1943,99.5,5.1,1.0,19.5,32.1,214.2,459.7,386.5,373.6,52.8,1.0,0.0,1645.1
3010,CHHATTISGARH,1944,24.4,78.3,102.9,25.0,11.1,101.3,611.7,439.8,247.7,142.8,7.5,0.1,1792.7
3011,CHHATTISGARH,1945,30.1,7.6,0.0,58.6,7.0,200.7,428.5,397.2,376.6,71.9,6.4,0.9,1585.6
3012,CHHATTISGARH,1946,0.0,11.0,2.3,35.3,25.3,307.9,419.9,522.5,181.6,63.9,29.0,0.4,1599.0
3013,CHHATTISGARH,1947,31.0,29.9,12.0,6.7,9.7,140.1,510.6,476.4,283.2,80.0,4.5,15.6,1599.6
3014,CHHATTISGARH,1948,31.0,8.0,14.2,21.5,11.6,216.0,390.1,423.7,246.9,42.3,86.4,0.0,1491.7
3015,CHHATTISGARH,1949,1.2,7.6,4.0,9.9,61.5,181.7,381.0,412.3,280.3,159.8,0.0,0.2,1499.6
3016,CHHATTISGARH,1950,0.4,40.1,50.9,1.3,10.0,172.4,457.2,374.7,148.9,16.7,19.6,0.0,1292.2
3017,CHHATTISGARH,1951,4.5,2.8,102.3,59.8,34.5,145.1,338.4,459.4,166.5,96.8,1.5,0.0,1411.6
3018,CHHATTISGARH,1952,1.2,20.0,18.8,18.2,23.4,120.8,439.4,385.8,304.0,62.8,0.0,2.0,1396.4
3019,CHHATTISGARH,1953,24.3,5.1,0.1,22.7,5.8,140.8,421.3,483.6,209.1,55.0,2.4,0.0,1370.2
3020,CHHATTISGARH,1954,2.7,2.2,4.4,11.7,6.5,114.9,314.0,358.1,361.4,12.5,0.0,5.4,1193.7
3021,CHHATTISGARH,1955,15.1,1.2,3.2,13.5,23.3,242.1,283.1,406.0,276.6,174.2,2.4,0.0,1440.7
3022,CHHATTISGARH,1956,2.2,13.9,7.1,3.0,68.4,278.0,468.5,404.3,227.3,69.6,10.7,4.0,1557.0
3023,CHHATTISGARH,1957,14.8,10.4,48.7,17.0,16.2,114.8,449.7,416.7,105.8,28.3,0.0,0.0,1222.4
3024,CHHATTISGARH,1958,9.5,38.8,21.6,17.1,19.2,101.2,509.4,376.0,265.8,133.0,29.3,0.0,1520.9
3025,CHHATTISGARH,1959,32.0,3.3,0.2,3.6,15.5,180.4,408.9,473.1,357.9,69.0,0.1,0.3,1544.2
3026,CHHATTISGARH,1960,18.0,0.7,44.4,10.2,11.2,168.6,412.1,441.5,145.4,111.9,0.4,0.0,1364.3
3027,CHHATTISGARH,1961,2.5,44.1,5.0,10.9,16.1,377.4,533.2,467.6,401.2,102.8,5.8,7.3,1974.0
3028,CHHATTISGARH,1962,3.8,15.8,10.4,23.8,28.0,130.5,371.6,276.1,210.0,26.3,2.0,26.4,1124.7
3029,CHHATTISGARH,1963,0.4,5.4,8.9,44.8,28.2,160.8,349.4,387.7,258.8,91.2,1.2,0.3,1337.2
3030,CHHATTISGARH,1964,1.0,21.9,3.9,6.5,4.5,269.2,371.6,515.3,201.8,109.1,4.1,0.0,1509.1
3031,CHHATTISGARH,1965,5.8,4.5,22.3,14.4,8.4,111.1,310.0,208.3,251.8,4.9,0.0,0.0,941.6
3032,CHHATTISGARH,1966,20.9,0.0,2.2,16.3,19.0,267.8,294.0,253.4,154.6,25.1,12.8,20.9,1087.1
3033,CHHATTISGARH,1967,1.7,0.0,96.8,15.5,12.2,184.3,397.9,508.3,188.5,9.2,0.4,57.6,1472.5
