,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
4063,LAKSHADWEEP,1963,126.7,112.9,6.5,72.6,204.6,233.0,367.0,249.9,121.8,113.5,211.5,82.1,1902.1
4064,LAKSHADWEEP,1964,2.5,3.5,5.2,40.4,64.2,376.1,407.0,174.6,342.5,120.9,90.8,24.0,1651.7
4065,LAKSHADWEEP,1965,0.2,7.3,8.3,35.0,162.5,200.6,164.2,267.7,92.4,69.2,77.9,320.6,1405.9
4066,LAKSHADWEEP,1966,21.3,0.2,6.2,4.4,34.9,376.7,421.9,158.9,225.4,266.1,158.0,67.5,1741.5
4067,LAKSHADWEEP,1967,7.8,2.7,0.0,0.0,148.3,301.2,380.1,196.9,100.4,92.3,24.5,33.1,1287.3
4068,LAKSHADWEEP,1968,8.7,1.8,30.6,45.4,16.6,393.8,439.8,84.1,202.8,46.5,31.4,42.9,1344.4
4069,LAKSHADWEEP,1969,30.0,4.1,0.0,63.3,237.9,125.6,149.0,225.3,95.9,162.3,157.5,165.2,1416.1
4070,LAKSHADWEEP,1970,18.7,6.3,13.8,32.3,164.9,322.1,484.4,284.6,228.9,126.9,81.2,18.9,1783.0
4071,LAKSHADWEEP,1971,3.8,12.3,5.4,25.0,271.6,333.9,308.1,349.6,281.8,113.8,63.0,133.1,1901.4
4072,LAKSHADWEEP,1972,0.0,1.1,0.0,11.4,81.3,349.2,197.3,172.5,152.0,219.2,94.2,9.4,1287.6
4073,LAKSHADWEEP,1973,0.3,5.8,0.0,40.7,96.3,260.5,299.9,437.9,57.3,150.9,108.1,99.7,1557.4
4074,LAKSHADWEEP,1974,0.0,16.8,0.8,35.4,171.9,277.6,491.6,165.7,258.3,65.9,20.1,7.2,1511.3
4075,LAKSHADWEEP,1975,8.6,0.7,18.4,92.9,282.2,250.0,278.0,348.4,299.5,111.6,155.2,45.0,1890.5
4076,LAKSHADWEEP,1976,10.3,0.0,1.1,72.9,85.3,260.7,329.2,344.1,36.6,189.2,161.6,11.1,1502.1
4077,LAKSHADWEEP,1977,1.4,38.2,16.5,27.6,256.8,460.7,337.4,125.3,90.7,248.4,243.8,1.4,1848.2
4078,LAKSHADWEEP,1978,0.2,6.5,0.6,44.1,309.5,568.3,224.7,303.5,105.1,92.1,294.2,18.6,1967.4
4079,LAKSHADWEEP,1979,14.9,1.3,10.0,15.4,23.1,367.1,451.3,127.3,221.1,173.6,378.1,42.2,1825.4
4080,LAKSHADWEEP,1980,7.5,10.5,13.1,19.7,123.5,233.6,185.0,217.6,67.0,122.1,98.5,113.6,1211.7
4081,LAKSHADWEEP,1981,1.8,20.4,0.6,22.3,208.6,421.5,168.9,213.3,281.4,167.4,76.6,34.6,1617.4
4082,LAKSHADWEEP,1982,1.6,0.4,0.6,0.4,106.8,321.6,254.5,326.1,121.3,70.7,178.6,9.4,1392.0
4083,LAKSHADWEEP,1983,1.4,0.0,0.0,0.2,113.5,215.0,277.0,375.0,219.8,77.6,71.2,52.5,1403.2
4084,LAKSHADWEEP,1984,71.1,114.9,96.7,65.1,46.7,318.9,271.5,124.9,83.1,218.3,155.4,25.0,1591.6
4085,LAKSHADWEEP,1985,6.4,0.0,27.4,11.1,182.9,326.1,152.1,203.0,206.4,42.0,62.3,83.7,1303.4
4086,LAKSHADWEEP,1986,12.4,3.0,25.3,6.5,102.1,399.2,193.3,218.3,179.9,128.6,147.8,49.5,1465.9
4087,LAKSHADWEEP,1987,1.9,1.5,0.0,16.5,72.9,389.3,29.4,284.7,183.4,133.0,47.7,128.3,1288.6
4088,LAKSHADWEEP,1988,0.8,7.0,0.9,54.0,142.8,352.5,293.6,240.9,240.9,28.9,82.7,5.8,1450.8
4089,LAKSHADWEEP,1989,20.6,0.0,4.4,93.0,106.7,473.5,387.5,167.3,216.3,172.4,69.2,3.5,1714.4
4090,LAKSHADWEEP,1990,38.9,0.3,21.4,0.0,191.1,181.6,334.0,123.5,98.9,160.4,155.4,5.0,1310.5
4091,LAKSHADWEEP,1991,12.3,0.0,18.7,12.3,68.0,604.3,241.1,253.8,45.7,222.7,75.5,28.6,1583.0
4092,LAKSHADWEEP,1992,4.0,0.1,0.0,3.3,128.1,346.6,363.0,373.3,95.1,120.4,69.3,31.7,1534.9
4093,LAKSHADWEEP,1993,1.2,0.5,0.2,0.2,56.5,276.1,346.7,154.4,161.0,131.6,280.5,40.8,1449.7
4094,LAKSHADWEEP,1994,12.4,66.6,34.8,88.8,78.9,361.1,240.2,219.7,76.2,213.5,153.7,1.2,1547.1
4095,LAKSHADWEEP,1995,131.3,18.5,0.3,315.4,179.6,286.0,486.7,384.8,71.8,81.0,72.2,3.3,2030.9
4096,LAKSHADWEEP,1996,44.7,1.1,1.6,17.4,50.0,427.1,335.3,197.3,230.4,109.0,60.5,131.6,1606.0
4097,LAKSHADWEEP,1997,2.2,0.1,4.9,33.8,62.3,307.0,459.6,216.8,144.0,213.5,200.8,119.7,1764.7
4098,LAKSHADWEEP,1998,52.0,0.0,1.8,40.3,68.2,382.0,388.8,196.7,274.7,184.8,144.1,253.5,1986.9
4099,LAKSHADWEEP,1999,47.8,2.5,18.3,20.6,416.7,279.6,459.4,133.8,73.4,305.0,51.2,49.0,1857.3
4100,LAKSHADWEEP,2000,83.3,18.9,3.4,47.9,204.6,225.4,95.5,319.9,164.5,141.4,56.3,11.0,1372.1
